学校,省市,总分
郑州工商学院,河南,60.7
淮北理工学院,安徽,60.6
南通理工学院,江苏,60.6
潍坊理工学院,山东,60.4
重庆城市科技学院,重庆,59.8
广州华立学院,广东,59.8
江西工程学院,江西,59.8
长春科技学院,吉林,58.9
山东现代学院,山东,58.7
安阳学院,河南,58.6
仰恩大学,福建,58.6
广东科技学院,广东,58.4
合肥城市学院,安徽,58.2
湖南信息学院,湖南,58.2
西安交通工程学院,陕西,58.0
长春建筑学院,吉林,57.8
西安思源学院,陕西,57.7
山西晋中理工学院,山西,57.5
江西应用科技学院,江西,57.0
丽江文化旅游学院,云南,56.9
长春电子科技学院,吉林,56.8
安徽文达信息工程学院,安徽,56.6
桂林学院,广西,56.5
长春光华学院,吉林,56.3
山东华宇工学院,山东,56.1
南昌工学院,江西,55.7
泉州信息工程学院,福建,55.6
广州应用科技学院,广东,55.4
云南工商学院,云南,55.4
辽宁何氏医学院,辽宁,55.3
郑州工业应用技术学院,河南,55.1
重庆移通学院,重庆,55.0
燕京理工学院,河北,54.8
荆州学院,湖北,54.7
福州工商学院,福建,54.6
广州理工学院,广东,54.5
新乡工程学院,河南,54.5
安徽三联学院,安徽,54.5
保定理工学院,河北,54.5
沧州交通学院,河北,54.5
重庆工程学院,重庆,54.5
大连科技学院,辽宁,54.5
福州理工学院,福建,54.5
广东东软学院,广东,54.5
广东理工学院,广东,54.5
桂林信息科技学院,广西,54.5
贵阳人文科技学院,贵州,54.5
贵阳信息科技学院,贵州,54.5
贵州黔南科技学院,贵州,54.5
哈尔滨广厦学院,黑龙江,54.5
哈尔滨华德学院,黑龙江,54.5
哈尔滨剑桥学院,黑龙江,54.5
哈尔滨石油学院,黑龙江,54.5
哈尔滨信息工程学院,黑龙江,54.5
哈尔滨远东理工学院,黑龙江,54.5
河北东方学院,河北,54.5
河北工程技术学院,河北,54.5
河北科技学院,河北,54.5
